x,y,motor1,motor2,V1,V2,A1,A2
0.65,0.36,-0.15,0.1,0.0,1.04047657611e-19,-1.56071486417e-19,0.0
0.35,0.37,0.15,0.1,0.0,1.54820123186e-18,2.32230184779e-18,0.0
0.36,0.37,0.14,0.1,0.0,2.81372342489e-17,3.93921279485e-17,0.0
0.37,0.37,0.13,0.1,0.0,4.18674497104e-16,5.44276846235e-16,0.0
0.38,0.37,0.12,0.1,0.0,5.10049953247e-15,6.12059943896e-15,0.0
0.39,0.37,0.11,0.1,0.0,5.08733129475e-14,5.59606442423e-14,0.0
0.4,0.37,0.1,0.1,0.0,4.15440117544e-13,4.15440117544e-13,0.0
0.41,0.37,0.09,0.1,0.0,2.77758877295e-12,2.49982989566e-12,0.0
0.42,0.37,0.08,0.1,0.0,1.52043748181e-11,1.21634998544e-11,0.0
0.43,0.37,0.07,0.1,0.0,6.81412804254e-11,4.76988962978e-11,0.0
0.44,0.37,0.06,0.1,0.0,2.50030572965e-10,1.50018343779e-10,0.0
0.45,0.37,0.05,0.1,0.0,7.51133350367e-10,3.75566675183e-10,0.0
0.46,0.37,0.04,0.1,0.0,1.84748991533e-09,7.38995966131e-10,0.0
0.47,0.37,0.03,0.1,0.0,3.72038778418e-09,1.11611633525e-09,0.0
0.48,0.37,0.02,0.1,0.0,6.133882401e-09,1.2267764802e-09,0.0
0.49,0.37,0.01,0.1,0.0,8.27987509479e-09,8.27987509479e-10,0.0
0.5,0.37,-1.11022302463e-16,0.1,0.0,9.15067712022e-09,-1.01592924298e-23,0.0
0.51,0.37,-0.01,0.1,0.0,8.27987509479e-09,-8.27987509479e-10,0.0
0.52,0.37,-0.02,0.1,0.0,6.133882401e-09,-1.2267764802e-09,0.0
0.53,0.37,-0.03,0.1,0.0,3.72038778418e-09,-1.11611633525e-09,0.0
0.54,0.37,-0.04,0.1,0.0,1.84748991533e-09,-7.38995966131e-10,0.0
0.55,0.37,-0.05,0.1,0.0,7.51133350367e-10,-3.75566675183e-10,0.0
0.56,0.37,-0.06,0.1,0.0,2.50030572965e-10,-1.50018343779e-10,0.0
0.57,0.37,-0.07,0.1,0.0,6.81412804254e-11,-4.76988962978e-11,0.0
0.58,0.37,-0.08,0.1,0.0,1.52043748181e-11,-1.21634998544e-11,0.0
0.59,0.37,-0.09,0.1,0.0,2.77758877295e-12,-2.49982989566e-12,0.0
0.6,0.37,-0.1,0.1,0.0,4.15440117544e-13,-4.15440117544e-13,0.0
0.61,0.37,-0.11,0.1,0.0,5.08733129475e-14,-5.59606442423e-14,0.0
0.62,0.37,-0.12,0.1,0.0,5.10049953247e-15,-6.12059943896e-15,0.0
0.63,0.37,-0.13,0.1,0.0,4.18674497104e-16,-5.44276846235e-16,0.0
0.64,0.37,-0.14,0.1,0.0,2.81372342489e-17,-3.93921279485e-17,0.0
