m1,m2,dm1,dm2,v1,v2,a1,a2
0.77,0.0,0.0660845380574,0.303340770684,2.1770213283e-20,1.58169857939e-20,-1.40972826792e-20,1.94032450074e-20
0.78,0.0,0.0626296230293,0.308096053266,9.03183197263e-22,6.56201003391e-22,-6.01497740351e-22,8.27890615023e-22
0.79,0.0,0.0591747080011,0.312851335847,3.06782172497e-23,2.22890295153e-23,-2.09962196617e-23,2.88988171406e-23
0.8,0.0,0.0557197929699,0.317606618425,8.53150189188e-25,6.19849895259e-25,-5.9961764564e-25,8.25302886635e-25
0.81,0.0,0.0522648777996,0.322361900855,1.9425042076e-26,1.41131192133e-26,-1.40103890004e-26,1.92836460986e-26
0.82,0.0,0.0488099562353,0.327117176845,3.62109203196e-28,2.63087765112e-28,-2.67845014708e-28,3.68657018004e-28
0.83,0.0,0.0453547424362,0.331872172359,5.52661059264e-30,4.01533658639e-30,-4.18976477069e-30,5.76670390613e-30
0.84,0.0,0.0418862390894,0.336614962532,6.90629232256e-32,5.01872222455e-32,-5.3633182264e-32,7.38124919467e-32
0.85,0.0,0.0378200595442,0.340830531879,7.08374416953e-34,5.19045365449e-34,-5.64882178842e-34,7.74092097192e-34
0.86,0.0,0.0130306572735,0.32744000494,6.58149538001e-36,6.34215783002e-36,-6.04947182551e-36,7.02676068724e-36
0.87,0.0,-0.0632158240856,0.272939660292,2.34114041756e-37,6.25112608561e-37,-4.18621264158e-37,1.7151290937e-37
0.88,0.0,-0.0796473007027,0.269796405201,4.64318173581e-38,1.42366708757e-37,-9.79121754188e-38,3.20172994983e-38
0.89,0.0,-0.0888902846035,0.27257750118,9.03231662169e-39,2.77961494653e-38,-2.02420770362e-38,6.57800622852e-39
0.9,0.0,-0.0979402742977,0.275512630068,1.44530893343e-39,4.44819424187e-39,-3.421801928e-39,1.11181452008e-39
0.91,0.0,-0.10698548031,0.278451465172,1.89370074527e-40,5.82821132243e-40,-4.72255245522e-40,1.53445042485e-40
0.92,0.0,-0.116030568262,0.281390389246,2.0314411535e-41,6.25213298765e-41,-5.32261386547e-41,1.72942208331e-41
0.93,0.0,-0.125075653307,0.284329315455,1.78417838069e-42,5.4911364295e-42,-4.90008950024e-42,1.592135592e-42
0.94,0.0,-0.134120738281,0.287268241715,1.2829608479e-43,3.94854748041e-43,-3.68557121688e-43,1.19751468023e-43
0.95,0.0,-0.143165823253,0.290207167977,7.5531765729e-45,2.32462871918e-44,-2.26519963336e-44,7.36007976778e-45
0.96,0.0,-0.152210908225,0.293146094238,3.64071744941e-46,1.12049761576e-45,-1.13783261126e-45,3.69704226413e-46
0.97,0.0,-0.161255993197,0.2960850205,1.43676393096e-47,4.42190469712e-47,-4.67177141473e-47,1.51795054894e-47
0.98,0.0,-0.170301078168,0.299023946761,4.64221191431e-49,1.42872591848e-48,-1.56808721903e-48,5.09502422874e-49
